工作 数量
系统架构师 88
高级JAVA开发工程师 14
算法工程师 135
软件开发工程师 16
数据挖掘算法工程师 12
后端开发工程师 11
Java工程师 13
机器学习工程师 24
高级Java开发工程师 19
Hadoop开发工程师 36
大数据研发工程师 80
数据分析工程师 41
Java高级开发工程师 147
大数据软件工程师 13
推荐算法工程师 15
Python高级开发工程师 12
资深大数据工程师 15
数据工程师 36
数据库开发工程师 31
架构师 27
大数据开发 25
高级大数据工程师 16
大数据平台工程师 24
大数据高级工程师 23
大数据开发工程师 821
Java架构师 35
大数据产品经理 24
ETL开发工程师 32
大数据应用开发工程师 17
高级数据开发工程师 18
技术经理 13
数据仓库工程师 35
运维工程师 36
大数据库工程师 14
项目经理 25
Spark开发工程师 11
数据分析师 101
机器学习算法工程师 19
数据挖掘工程师 127
大数据平台架构师 25
数据科学家 13
大数据工程师 170
java开发工程师 14
大数据分析工程师 21
大数据讲师 39
Java开发工程师 179
售前工程师 28
数据开发工程师 87
数据库工程师 42
JAVA开发工程师 11
大数据算法工程师 37
Python开发工程师 15
数据仓库开发工程师 11
高级大数据开发工程师 42
大数据架构师 186
大数据平台开发工程师 20
高级数据挖掘工程师 13
数据平台架构师 11
软件工程师 15
大数据高级开发工程师 26
大数据平台研发工程师 13
大数据系统架构师 16
大数据分析师 28
大数据运维工程师 64
BI工程师 39
高级数据分析师 15
高级运维工程师 12
自然语言处理工程师 16
Java中级开发工程师 18
大数据挖掘工程师 15
高级算法工程师 22
技术总监 25
