Spark开发/spark工程师,上海智子信息科技股份有限公司,上海-杨浦区,1-1.5万/月,07-12
Spark大数据工程师,中经网数据有限公司,北京-西城区,1-3万/月,07-12
数据挖掘工程师（spark）,新好耶数字技术（上海）有限公司,上海,1.5-2万/月,07-12
Spark开发工程师,郑州三友软件科技有限公司,北京,0.8-1万/月,07-12
spark sql开发人员,上海卓领通讯技术有限公司,上海-浦东新区,1-1.5万/月,07-12
大数据开发（spark),青岛酷特智能股份有限公司,青岛-即墨区,1-1.5万/月,07-12
spark-java高级开发工程师,北京世纪超星信息技术发展有限责任公司,南京,1.5-2.5万/月,07-12
SPARK开发工程师-大数据产品部（武汉）,深圳市思迪信息技术股份有限公司,武汉-武昌区,1-1.5万/月,07-12
证券-大数据研发工程师（spark),深圳市金证科技股份有限公司,深圳-南山区,2-3万/月,07-12
Spark数据开发工程师,上海高欣计算机系统有限公司,上海-浦东新区,1.2-2.4万/月,07-12
Spark工程师,上海慎则化工科技有限公司,上海-浦东新区,1-2万/月,07-12
Spark大数据开发工程师,深圳就位网科技有限公司,深圳-宝安区,1-1.5万/月,07-12
Spark开发工程师,北京东方金信科技有限公司,北京-东城区,0.8-1.5万/月,07-12
Spark开发工程师,深圳市信义科技有限公司,深圳,0.8-1万/月,07-12
大数据架构师(Spark方向)-GA-武汉-00775,任子行网络技术股份有限公司,武汉-洪山区,1.7-2.5万/月,07-12
Elasticsearch/Spark开发工程师,杭州迪普科技股份有限公司,杭州-滨江区,0.8-1.5万/月,07-12
Spark讲师,北京八维研修学院,北京-海淀区,1.5-3万/月,07-12
Hadoop/Spark开发工程师,新华三技术有限公司,郑州,1-2万/月,07-12
spark大数据开发工程师,亚信科技（中国）有限公司,北京-朝阳区,1.6-2万/月,07-12
Hadoop/Spark开发工程师,金华媒迪雅网络股份有限公司上海分公司,上海-徐汇区,2-3.5万/月,07-11
Spark开发工程师,成都嗨翻屋科技有限公司,成都-高新区,1.5-2万/月,07-11
Hadoop/Spark架构师,广东源恒软件科技有限公司,广州,2-3万/月,07-11
数据平台 - Spark/Hadoop工,美团点评,北京,3-4万/月,07-11
Hadoop/spark 软件工程师,西安创富电子科技有限公司,西安,0.7-1.2万/月,07-11
"大数据开发工程师（spark,python）",深圳前海壹互联科技投资有限公司,深圳-南山区,1.5-2万/月,07-11
Spark大数据工程师,北京腾信软创科技股份有限公司,深圳-南山区,1-1.5万/月,07-11
spark流计算,深圳市宜远智能科技有限公司,深圳-南山区,1-1.5万/月,07-11
大数据开发工程师（Hadoop/spark/kudu）,上海挚极信息科技有限公司,上海-嘉定区,1.8-2.5万/月,07-11
Spark开发工程师,上海音智达信息技术有限公司,异地招聘,2-2.5万/月,07-11
Spark大数据讲师,上海育创网络科技股份有限公司,上海-浦东新区,1.5-2万/月,07-11
Spark开发工程师,同程艺龙,苏州,1-2万/月,07-11
中、高级数据开发工程师（SPARK方向）,上海睿民互联网科技有限公司,北京-顺义区,1-2万/月,07-11
大数据工程师HADOOP/SPARK/STORM/HBASE(做产品),悦岚（上海）数据服务有限公司,上海-杨浦区,1.5-2万/月,07-11
大数据spark开发工程师,江苏苏源高科技有限公司,南京-秦淮区,1-1.5万/月,07-11
大数据spark开发工程师,深圳市名通科技股份有限公司,深圳-南山区,1.2-2.5万/月,07-11
Hadoop/Spark大数据运维开发工程师,上海云济信息科技有限公司,上海-徐汇区,2-4万/月,07-11
LK4-Spark开发工程师,安徽天元通信发展有限公司,南昌,1-1.5万/月,07-11
