工资 数量
1.5-4万/月 15
2-4万/月 182
1-1.5万/月 938
1.5-2万/月 859
1.8-3万/月 52
1.4-2万/月 11
1-3万/月 55
0.6-2.5万/月 15
5-7万/月 37
1-1.3万/月 16
0.8-2万/月 45
1.5千以下/月 28
1-2万/月 534
2.5-3.5万/月 58
1.2-2.4万/月 38
1.2-3万/月 12
2.5-5万/月 31
1-1.2万/月 13
1.3-2万/月 23
1.5-3.5万/月 27
0.9-1.2万/月 13
3-4万/月 147
1.2-1.5万/月 18
1.5-2.5万/月 452
1-2.5万/月 46
5-8千/月 27
3-4.5千/月 30
2.5-3万/月 216
2.5-4.5万/月 15
0.9-1.8万/月 20
1.5-2千/月 21
0.8-1.6万/月 92
2-3千/月 34
0.8-1万/月 287
1.5-3万/月 419
0.8-1.2万/月 104
1.2-2.5万/月 33
4-5万/月 51
0.6-1.5万/月 35
0.8-1.5万/月 298
0.7-1万/月 23
1.2-1.6万/月 12
0.6-1.2万/月 70
0.7-1.4万/月 29
7-9千/月 12
1.2-2万/月 91
0.8-1.3万/月 30
4-8千/月 25
6-8千/月 163
0.9-1.5万/月 12
1.8-2.5万/月 53
1.3-2.5万/月 15
3-5万/月 70
3-6万/月 19
0.7-1.5万/月 43
10万以上/月 15
4.5-6千/月 36
0.7-1.2万/月 34
4-6千/月 13
1.3-1.8万/月 12
1-1.6万/月 22
2-2.5万/月 338
0.5-1万/月 58
2-5万/月 12
2-3.5万/月 79
0.6-1万/月 79
1.8-3.5万/月 13
0.8-1.8万/月 16
1-1.8万/月 83
1.5-2.2万/月 13
2-3万/月 233
2.5-4万/月 52
1.2-1.8万/月 55
