位置 数量
杭州-余杭区 53
西安 81
佛山 18
上海-徐汇区 204
重庆 52
海口 15
东莞 14
上海-宝山区 19
南京-雨花台区 65
南京-江宁区 57
珠海 31
北京-海淀区 480
厦门 64
苏州-工业园区 49
上海-普陀区 66
广州-天河区 282
深圳-龙岗区 34
杭州 267
郑州-金水区 12
上海-静安区 89
成都-武侯区 43
贵阳 28
西安-高新技术... 59
杭州-萧山区 13
南京-鼓楼区 30
上海-嘉定区 22
北京-丰台区 42
济南-高新区 11
深圳-宝安区 29
沈阳 14
长春 13
天津-南开区 14
上海-虹口区 33
石家庄 15
武汉-江夏区 22
北京-石景山区 15
北京-昌平区 16
成都-高新区 188
合肥 47
北京-东城区 39
济南 38
青岛 22
上海-浦东新区 493
重庆-渝北区 50
西安-雁塔区 13
南京-建邺区 47
合肥-高新区 29
昆明 28
成都-青羊区 16
广州-番禺区 47
广州-黄埔区 31
北京-大兴区 32
深圳-龙华新区 32
成都 149
北京 511
哈尔滨 16
成都-锦江区 12
杭州-拱墅区 28
杭州-江干区 32
杭州-西湖区 89
深圳-罗湖区 27
武汉-武昌区 14
广州-荔湾区 14
昆山 11
深圳 268
武汉-东湖新技... 13
上海 419
武汉-洪山区 116
福州-鼓楼区 12
武汉 97
苏州-高新区 18
深圳-福田区 194
广州 237
长沙-雨花区 20
大连 42
北京-朝阳区 297
深圳-南山区 384
郑州 57
南京 152
大连-高新园区 18
杭州-上城区 11
北京-西城区 64
广州-海珠区 55
上海-黄浦区 55
上海-青浦区 15
上海-闵行区 76
无锡 30
长沙-岳麓区 39
广州-越秀区 51
佛山-南海区 14
福州 50
异地招聘 441
南京-玄武区 12
南京-秦淮区 15
苏州 56
杭州-滨江区 165
杭州-下城区 12
合肥-蜀山区 11
南昌 19
长沙 48
上海-杨浦区 93
南宁 13
上海-长宁区 81
宁波 13
